sensor,PM 1.0 CF,PM 2.5 CF,PM 4.0 CF,PM 10 CF
BlueSky 1,0.45,0.45,0.44,0.44
BlueSky 2,0.9,0.91,0.91,0.92
BlueSky 3,0.94,0.95,0.95,0.96
BlueSky 4,4.31,4.32,4.35,4.37
BlueSky 5,1.04,1.03,1.02,1.01
BlueSky 6,1.06,1.05,1.04,1.04
BlueSky 7,1.1,1.09,1.09,1.08
BlueSky 8,0.93,0.94,0.94,0.95
BlueSky 9,0.77,0.77,0.77,0.77
BlueSky 10,1.05,1.05,1.06,1.06
BlueSky 11,1.06,1.07,1.07,1.06
BlueSky 12,1.08,1.08,1.08,1.08
BlueSky 13,1.01,1.01,1.01,1.01
BlueSky 14,0.95,0.94,0.94,0.94
BlueSky 15,0.9,0.89,0.89,0.88
BlueSky 16,0.74,0.74,0.75,0.75
BlueSky 17,1.13,1.12,1.12,1.12
BlueSky 18,0.94,0.95,0.96,0.97
BlueSky 19,0.77,0.72,0.69,0.68
BlueSky 20,0.99,0.98,0.98,0.98
BlueSky 21,0.9,0.89,0.89,0.89
BlueSky 22,0.92,0.91,0.91,0.91
BlueSky 23,1.05,1.05,1.06,1.06
BlueSky 24,1.09,1.1,1.1,1.11
BlueSky 25,0.93,0.93,0.94,0.94
BlueSky 26,0.76,0.76,0.77,0.77
BlueSky 27,1.04,1.06,1.07,1.07
BlueSky 28,1.06,1.06,1.05,1.05
BlueSky 29,1.01,1.01,1.01,1.02
BlueSky 30,1.04,1.03,1.03,1.03
BlueSky 31,1.16,1.19,1.21,1.22
BlueSky 32,1.03,1.04,1.04,1.05
BlueSky 33,1.2,1.18,1.16,1.16
BlueSky 34,0.88,0.88,0.88,0.88
BlueSky 35,0.42,0.42,0.43,0.43
BlueSky 36,1.04,1.04,1.03,1.03
BlueSky 37,0.34,0.35,0.35,0.35
