sensor,PM 2.5 CF,PM 2.5 R2,Temperature CF,Temperature R2,Relative Humidity CF,Relative Humidity R2
B1,0.89,0.997,1.0,0.985,0.99,0.913
B2,-7.232201841750008e+19,-inf,inf,-inf,6.334813025361461e+19,-inf
B3,-7.232201841750008e+19,-inf,inf,-inf,6.334813025361461e+19,-inf
B4,1.16,0.989,1.0,0.988,1.0,0.924
B5,-7.232201841750008e+19,-inf,inf,-inf,6.334813025361461e+19,-inf
B6,1.11,0.991,1.04,0.967,1.04,0.914
B7,-7.232201841750008e+19,-inf,inf,-inf,6.334813025361461e+19,-inf
B8,1.19,0.997,0.98,0.985,1.0,0.966
B9,-7.232201841750008e+19,-inf,inf,-inf,6.334813025361461e+19,-inf
B10,-7.232201841750008e+19,-inf,inf,-inf,6.334813025361461e+19,-inf
B11,1.9,0.637,1.0,0.99,0.98,0.926
B12,0.89,0.999,1.05,0.979,1.02,0.871
B13,0.94,0.998,1.02,0.98,1.05,0.935
B14,0.91,0.994,0.98,0.98,0.99,0.966
B15,1.0,0.998,0.98,0.982,0.97,0.959
B16,-7.232201841750008e+19,-inf,inf,-inf,6.334813025361461e+19,-inf
B17,0.85,0.999,0.99,0.987,1.0,0.926
B18,0.94,0.998,1.01,0.992,1.06,0.841
B19,1.31,0.997,0.98,0.986,1.0,0.97
B20,-7.232201841750008e+19,-inf,inf,-inf,6.334813025361461e+19,-inf
B21,1.06,0.998,0.99,0.979,0.99,0.938
B22,0.99,0.999,1.05,0.961,0.99,0.944
